fold,metric_type,metric,value_nomitig,value_mitig,value_pol
0,fairness,Iatrogenic Drug Induced Exanthema,0.7412,0.895,0.8884
1,fairness,Iatrogenic Drug Induced Exanthema,0.7287,0.8453,0.8753
2,fairness,Iatrogenic Drug Induced Exanthema,0.7071,0.8758,0.8691
3,fairness,Iatrogenic Drug Induced Exanthema,0.703,0.8639,0.8872
0,fairness,Maculopapular Exanthema,0.7556,0.934,0.6463
1,fairness,Maculopapular Exanthema,0.7505,0.9308,0.6196
2,fairness,Maculopapular Exanthema,0.7277,0.9265,0.6581
3,fairness,Maculopapular Exanthema,0.7262,0.9287,0.6761
0,fairness,Morbilliform Exanthema,0.7845,0.9219,0.9564
1,fairness,Morbilliform Exanthema,0.7508,0.8834,0.9367
2,fairness,Morbilliform Exanthema,0.7433,0.8867,0.9527
3,fairness,Morbilliform Exanthema,0.7615,0.9479,0.9543
0,fairness,Polymorphous Exanthema,0.7299,0.513,0.5883
1,fairness,Polymorphous Exanthema,0.7057,0.5418,0.606
2,fairness,Polymorphous Exanthema,0.6936,0.5464,0.5542
3,fairness,Polymorphous Exanthema,0.7909,0.5587,0.5715
0,fairness,Viral Exanthema,0.91,0.9089,0.9304
1,fairness,Viral Exanthema,0.9041,0.9142,0.9513
2,fairness,Viral Exanthema,0.8852,0.8932,0.9717
3,fairness,Viral Exanthema,0.9407,0.9237,0.9466
0,fairness,Urticaria,0.7607,0.8068,0.7411
1,fairness,Urticaria,0.7361,0.8133,0.7432
2,fairness,Urticaria,0.7306,0.7667,0.7522
3,fairness,Urticaria,0.7326,0.7333,0.7636
0,fairness,Pediculosis,0.606,0.8646,0.7525
1,fairness,Pediculosis,0.5962,0.9036,0.798
2,fairness,Pediculosis,0.6068,0.8736,0.7501
3,fairness,Pediculosis,0.631,0.8782,0.7394
0,fairness,Scabies,0.0985,0.3878,0.4479
1,fairness,Scabies,0.0957,0.4037,0.4271
2,fairness,Scabies,0.0968,0.4243,0.437
3,fairness,Scabies,0.109,0.3841,0.488
0,fairness,Chickenpox,0.3469,0.3834,0.3482
1,fairness,Chickenpox,0.382,0.4017,0.3547
2,fairness,Chickenpox,0.3274,0.3994,0.3523
3,fairness,Chickenpox,0.3437,0.4155,0.3449
0,performance,Accuracy,0.9348,0.9324,0.8868
1,performance,Accuracy,0.9194,0.8956,0.8779
2,performance,Accuracy,0.8937,0.9089,0.8953
3,performance,Accuracy,0.9041,0.8951,0.9159
0,performance,F1,0.874,0.9006,0.878
1,performance,F1,0.8933,0.9174,0.907
2,performance,F1,0.9133,0.922,0.8901
3,performance,F1,0.9194,0.9,0.8848
